"Year","Month","Area","Level","AreaChange","LevelChange_Mean","LevelChange_Max","LevelChange_Min","VolumeChange_Mean","VolumeChange_Max","VolumeChange_Min"
2003,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2003,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2003,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2003,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2003,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2003,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2003,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2003,8,81615600,-9999,0,0,0,0,0,0,0
2003,9,72551700,-9999,-9063900,-1.70139143283399,-5.56614150874164,-0.997263359344425,-131073841.71341,-428811111.300823,-76828375.4030452
2003,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2003,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2003,12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2004,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2004,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2004,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2004,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2004,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2004,6,74576700,-9999,-7038900,-1.32127717170039,-4.32258889284762,-0.77446100024156,-103151715.330891,-337463227.63881,-60461939.6617487
2004,7,84029400,-9999,2413800,0.453096199271249,1.48231471814567,0.265580412050615,37525231.7855845,122764665.57668,21995255.1708433
2004,8,74268900,-9999,-7346700,-1.37905453939269,-4.51160889046351,-0.808326958825195,-107446800.826103,-351514699.391356,-62979485.7754559
2004,9,81234900,-9999,-380700,-0.0714614810931165,-0.233787891788076,-0.0418868435113387,-5818763.6634731,-19036220.1970577,-3410643.59810532
