"Hylak_id","SlopeMean","SignMean","PMean","SlopeMax","SignMax","PMax","SlopeMin","SignMin","PMin"
1,-16631690154.9764,-543,6.66133814775094e-16,-57684457200.7496,-543,6.66133814775094e-16,-2341579935.96888,-543,6.66133814775094e-16
2,-33880557.6778573,-34,0.38117733660233,-79422959.399368,-34,0.38117733660233,-112555.350722923,-34,0.38117733660233
3,-139698692.680583,-71,0.176025631931183,-2180417362.83264,-71,0.176025631931183,-4567010.29325263,-71,0.176025631931183
4,1148446357.75763,182,0.000213596204227118,35096267910.7073,182,0.000213596204227118,97428406.3899705,182,0.000213596204227118
5,-127416326.8882,-35,0.571988649795222,-1030990701.19856,-35,0.571988649795222,-9049959.57592532,-35,0.571988649795222
6,687598265.985102,98,0.118300992860052,2508514038.94647,98,0.118300992860052,22598611.0178058,98,0.118300992860052
7,176080024.838734,99,0.0741384363544799,615378978.389666,99,0.0741384363544799,14064978.1971633,99,0.0741384363544799
8,598876082.76437,218,0.000199174874357277,6599832426.90115,218,0.000199174874357277,11850770.6644692,218,0.000199174874357277
9,261015961.663313,72,0.231819062412881,968642816.644383,72,0.231819062412881,6186927.27588236,72,0.231819062412881
10,541778433.716356,246,2.63158302393762e-06,1303779192.25309,246,2.63158302393762e-06,47617605.8552939,246,2.63158302393762e-06
11,-331407921.692962,-56,0.233299335301744,-1934813257.01077,-56,0.233299335301744,-73171758.7233872,-56,0.233299335301744
12,58637958.5448922,31,0.60575456735672,212934915.7191,31,0.60575456735672,11493588.1655638,31,0.60575456735672
13,-3227401683.84878,-507,0,-4464727007.78668,-507,0,-265232897.665493,-507,0
14,-826700624.894312,-368,2.90489077237055e-09,-2338867918.08134,-368,2.90489077237055e-09,-86333811.6982481,-368,2.90489077237055e-09
15,-66109679.9537679,-224,0.00026623490266009,-206759441.76735,-224,0.00026623490266009,-5546715.19073753,-224,0.00026623490266009
16,1981760254.26461,143,0.0470910887237244,6294580185.97853,143,0.0470910887237244,112187872.47787,143,0.0470910887237244
17,1584244494.99339,250,0.000580724788282971,5989099016.52511,250,0.000580724788282971,133950257.267407,250,0.000580724788282971
18,-180202177.005623,-102,0.130960457839988,-1107596656.87725,-102,0.130960457839988,-9915905.16992013,-102,0.130960457839988
20,36947184.9111955,31,0.377517192080825,36947184.9111955,31,0.377517192080825,36947184.9111955,31,0.377517192080825
21,25213.851550011,0,1,32657.0433656286,0,1,17770.6597344654,0,1
23,22204109.24769,21,0.555288994049547,24206717.909332,21,0.555288994049547,12174092.4640418,21,0.555288994049547
24,2726646.14180994,3,0.958983850918245,3894961.51150163,3,0.958983850918245,1558330.77211666,3,0.958983850918245
25,9901432.27918533,37,0.305516416330708,9901432.27918533,37,0.305516416330708,1884754.66436033,37,0.305516416330708
26,31028833.6166085,52,0.165957553892754,72280317.5937557,52,0.165957553892754,14360605.1276841,52,0.165957553892754
27,9399335.52378756,128,0.0021729826336323,38311420.9909636,128,0.0021729826336323,2344491.90656669,128,0.0021729826336323
28,-9544280.61256997,-22,0.581473525353285,-28123553.827055,-22,0.581473525353285,-742565.1865532,-22,0.581473525353285
